,DATE,TIME,STADIUM,CLASS,ATTENDANCE,HOME TEAM,HOME TEAM GOALS,AWAY TEAM,AWAY TEAM GOALS,HOME POSSESSIONS,AWAY POSSESSIONS,HOME SHOTS,AWAY SHOTS,HOME ON(SUBS),AWAY ON(SUBS),HOME OFF(SUBS),AWAY OFF(SUBS),HOME BLOCKED SHOTS,AWAY BLOCKED SHOTS,HOME PASSES,AWAY PASSES,HOME CHANCES,AWAY CHANCES,HOME CORNERS,AWAY CORNERS,HOME OFFSIDES,AWAY OFFSIDES,HOME TACKLES,AWAY TACKLES,HOME DUELS WON,AWAY DUELS WON,HOME SAVES,AWAY SAVES,HOME FOULS,AWAY FOULS,HOME YELLOW CARDS,AWAY YELLOW CARDS,HOME RED CARDS,AWAY RED CARDS,YEAR,TOTAL GOALS,match_results
0,2023-05-28,4:30pm,Emirates Stadium,h,60095.0,2,5,13,0,51.0,49.0,14,6,8,0,4,4,2,2,89.0,88.0,3,0,8,4,1,0,82.4,44.4,47.8,52.2,0,3,8,11,0,0,0,0,2023,5,Home win
1,2023-05-28,4:30pm,Villa Park,h,42212.0,7,2,6,1,40.3,59.7,12,8,5,4,5,3,2,1,75.3,83.6,4,3,4,3,0,6,42.9,15.4,52.2,47.8,3,3,15,16,4,4,0,0,2023,3,Home win
2,2023-05-28,4:30pm,Gtech Community Stadium,h,17120.0,9,1,1,0,34.4,65.6,11,17,4,3,4,6,3,8,79.3,89.8,2,1,3,4,3,0,64.7,35.7,50.0,50.0,2,3,12,8,4,0,0,0,2023,1,Home win
3,2023-05-28,4:30pm,Stamford Bridge,d,40130.0,12,1,4,1,64.4,35.6,22,13,5,4,9,5,8,4,88.9,83.3,2,2,10,3,2,1,42.9,42.9,54.5,45.5,3,5,9,11,0,0,0,0,2023,2,Draw
4,2023-05-28,4:30pm,Selhurst Park,d,25198.0,11,1,16,1,66.0,34.0,15,7,3,4,8,2,4,1,85.7,69.9,1,0,5,4,2,2,40.0,52.6,58.3,41.7,3,2,9,13,0,2,0,0,2023,2,Draw
5,2023-05-28,4:30pm,Goodison Park,h,39201.0,17,1,15,0,37.8,62.2,13,7,6,2,5,3,2,2,73.1,83.9,0,0,9,3,0,1,50.0,58.3,53.8,46.2,1,5,11,12,1,3,0,0,2023,1,Home win
6,2023-05-28,4:30pm,Elland Road,a,36871.0,19,1,8,4,52.1,47.9,19,11,2,7,7,3,10,1,77.3,78.0,1,3,12,3,1,1,54.5,46.2,54.5,45.5,3,1,8,5,3,0,0,0,2023,5,Away win
7,2023-05-28,4:30pm,The King Power Stadium,h,32183.0,18,2,14,1,48.2,51.8,13,16,4,3,6,9,3,4,87.8,88.7,2,1,3,5,2,3,63.6,58.8,68.8,31.3,2,2,8,10,1,1,0,0,2023,3,Home win
8,2023-05-28,4:30pm,Old Trafford,h,32183.0,3,2,10,1,53.2,46.8,21,10,8,3,7,6,6,1,84.2,84.0,4,2,5,4,1,1,78.9,66.7,46.4,53.6,2,6,14,10,1,2,0,0,2023,3,Home win
9,2023-05-28,4:30pm,St. Mary's Stadium,d,31129.0,20,4,5,4,30.9,69.1,15,30,10,8,5,11,0,11,74.5,86.9,1,5,2,9,0,0,71.4,75.0,54.5,45.5,4,6,4,10,0,2,0,0,2023,8,Draw
10,2023-05-25,8:00pm,Old Trafford,h,73561.0,3,4,12,1,41.1,58.9,18,14,9,5,4,5,5,4,84.0,90.4,4,3,3,4,0,0,52.6,61.9,33.3,66.7,4,5,12,6,1,1,0,0,2023,5,Home win
11,2023-05-24,8:00pm,Amex Stadium,d,31388.0,6,1,1,1,39.6,60.4,20,13,7,4,6,6,7,3,84.2,89.0,2,3,5,1,2,0,50.0,33.3,42.9,57.1,3,6,16,11,2,1,0,0,2023,2,Draw
12,2023-05-20,12:30p,Tottenham Hotspur Stadium,a,61514.0,8,1,9,3,61.8,38.2,22,11,8,4,6,6,8,1,86.2,77.7,2,2,8,2,1,1,50.0,54.5,59.1,40.9,1,6,11,9,1,1,0,0,2023,4,Away win
13,2023-05-20,3:00pm,Vitality Stadium,a,10240.0,15,0,3,1,41.5,58.5,10,20,4,5,3,8,3,7,85.4,85.6,1,0,3,6,0,2,58.3,73.1,35.0,65.0,4,4,6,7,1,0,0,0,2023,1,Away win
14,2023-05-20,3:00pm,Craven Cottage,d,24356.0,10,2,11,2,49.5,50.5,11,11,4,5,3,3,4,3,75.3,78.4,2,1,7,4,2,2,43.8,33.3,52.0,48.0,3,2,13,12,3,0,0,0,2023,4,Draw
15,2023-05-20,3:00pm,Anfield,d,53306.0,5,1,7,1,66.3,33.7,10,6,5,3,1,2,4,1,84.3,66.7,1,2,9,4,4,1,61.1,51.7,65.0,35.0,2,4,16,13,3,5,0,0,2023,2,Draw
16,2023-05-20,3:00pm,Molineux,d,31684.0,13,1,17,1,53.2,46.8,13,19,5,4,6,9,2,6,78.7,75.9,0,3,1,7,1,0,41.7,52.6,37.5,62.5,3,4,18,10,5,1,0,0,2023,2,Draw
17,2023-05-20,5:30pm,The City Ground,h,29514.0,16,1,2,0,18.3,81.7,6,11,2,3,3,7,1,1,49.7,89.0,0,0,3,6,1,1,66.7,37.5,25.0,75.0,3,1,11,12,3,2,0,0,2023,1,Home win
18,2023-05-18,7:30pm,"St James' Park, Newcastle",h,52122.0,4,4,6,1,33.7,66.3,22,8,9,2,6,3,7,3,70.9,84.1,5,1,6,1,1,2,90.9,71.4,68.2,31.8,1,5,17,16,2,4,0,0,2023,5,Home win
19,2023-05-15,8:00pm,The King Power Stadium,a,32225.0,18,0,5,3,33.1,66.9,4,16,4,5,0,6,0,5,69.5,85.3,1,3,4,4,3,4,47.2,66.7,52.2,47.8,2,4,11,17,2,1,0,0,2023,3,Away win
